city,zpid,zipcode,lotSizeSqFt,livingAreaSqFt,numOfBathrooms,numOfBedrooms
austin,29343949,78732,13068.0,1848,2.0,2
austin,69814957,78730,27007.2,3371,4.0,4
austin,29351469,78731,4181.0,1555,2.0,3
austin,29344952,78733,11761.2,2647,3.0,4
austin,145658835,78744,4399.0,1914,3.0,3
austin,70341334,78725,4356.0,2088,3.0,4
austin,29370820,78726,7840.0,1861,2.0,3
austin,29392931,78725,9757.0,1567,2.0,4
austin,79981874,78725,7927.0,1344,2.0,3
austin,29377461,78726,50529.6,3227,4.0,5
austin,29343946,78732,13068.0,704,1.0,1
austin,124154920,78717,11761.2,3329,5.0,4
austin,145658832,78744,6011.0,2068,3.0,4
austin,29370806,78726,11761.2,3304,4.0,4
austin,83816428,78724,5749.0,1670,2.0,3
austin,29343454,78746,14374.8,2665,3.0,3
austin,29360963,78750,20908.8,2357,2.5,3
austin,145658831,78744,5445.0,1982,3.0,3
austin,64918941,78730,54450.0,5307,5.0,4
del valle,246905609,78617,32670.0,2100,3.0,4
austin,90240442,78732,8232.0,1943,2.0,4
austin,120895447,78732,9626.0,3689,4.0,4
austin,29375958,78750,13068.0,3650,4.0,4
austin,29344947,78733,12196.8,2929,3.0,4
austin,90240441,78732,8276.0,3348,4.0,5
austin,89553418,78717,5662.0,1746,2.0,3
austin,29344946,78733,12196.8,2066,3.0,3
austin,70338371,78724,6534.0,1704,3.0,3
austin,185217414,78717,8276.0,2960,3.0,4
austin,29578456,78729,7000.0,2084,3.0,3
austin,89550945,78733,19166.4,4743,5.0,5
austin,29459868,78725,5140.0,1419,2.0,3
austin,29341439,78746,33976.8,4637,4.0,4
austin,83813736,78726,14810.4,1649,2.0,3
austin,64455725,78732,11761.2,2731,4.0,3
austin,124842807,78744,4399.0,1448,2.0,3
austin,83814922,78732,22651.2,4631,5.0,5
austin,111370914,78724,4617.0,1510,2.0,3
austin,29341434,78746,47044.8,4707,6.0,5
austin,29368693,78732,85377.6,4147,4.0,4
austin,79981862,78725,8799.0,1598,3.0,3
austin,29465089,78725,14810.4,2304,2.0,4
austin,58298454,78730,54885.6,4620,4.0,5
austin,70323938,78733,70567.2,5742,4.0,4
austin,29346937,78733,41817.6,986,1.0,2
austin,29360950,78750,3397.0,2137,2.0,3
austin,145656290,78744,6272.0,2073,3.0,3
austin,29341421,78746,23086.8,4142,4.0,4
austin,29375949,78750,12196.8,2581,2.0,4
austin,145655859,78725,7230.0,1405,2.0,3
austin,29344936,78733,13503.6,2648,3.0,4
austin,29353950,78730,25264.8,3958,4.0,4
pflugerville,249912949,78660,7461.0,2814,3.0,4
austin,89651406,78717,5662.0,1730,3.0,3
austin,2089992289,78744,5967.0,2177,3.0,4
austin,89551588,78725,5227.0,1452,2.0,3
austin,80103408,78724,9147.0,1762,2.0,4
austin,83828934,78735,11325.6,3436,3.0,4
pflugerville,241936636,78660,6211.0,1582,2.0,3
austin,58265948,78750,10149.0,3254,3.0,5
austin,58297915,78746,31363.2,5576,7.0,5
austin,89548573,78725,6141.0,1776,3.0,5
austin,83123896,78732,12632.4,4952,4.0,4
austin,29355947,78731,16117.2,1707,2.0,3
austin,29368658,78732,40946.4,2667,3.0,3
austin,29341415,78746,42253.2,5234,5.0,5
austin,58265946,78750,9365.0,3282,3.0,4
austin,241938280,78744,8494.0,2275,3.0,4
austin,29396905,78724,5357.0,1320,2.0,3
pflugerville,241936634,78660,12196.8,1745,2.0,3
austin,80093390,78732,13503.6,4219,6.0,4
austin,29343408,78746,11325.6,3693,4.0,4
austin,63835353,78724,5749.0,1650,2.0,3
austin,29396904,78724,5575.0,939,1.0,2
austin,29351445,78731,3911.0,2474,3.0,3
austin,29370446,78750,13503.6,2567,4.0,4
austin,70352485,78732,15681.6,4060,5.0,4
austin,29344931,78733,32234.4,4919,5.0,4
austin,29459853,78725,5357.0,1419,2.0,3
austin,89663390,78717,6229.0,2234,3.0,3
pflugerville,241936631,78660,12196.8,1349,2.0,3
austin,29373139,78726,114127.2,1656,2.0,2
austin,83124879,78732,8363.0,2717,3.0,4
austin,70336928,78735,15681.6,4615,4.0,4
