zpid,city,zipcode,latitude,longitude,yearBuilt,latestPrice,latest_salemonth,lotSizeSqFt,livingAreaSqFt,avgSchoolRating,numOfBathrooms,numOfBedrooms
83813736,austin,78726,30.43041611,-97.87356567,2006,399000,5,14810.4,1649,7,2,3
64455725,austin,78732,30.41154671,-97.87689209,1995,1200000,4,11761.2,2731,7,4,3
124842807,austin,78744,30.17583656,-97.69471741,2015,249000,4,4399,1448,3.666666667,2,3
83814922,austin,78732,30.37281609,-97.90898132,2007,825000,5,22651.2,4631,8.666666667,5,5
111370914,austin,78724,30.27737617,-97.6243515,2014,239000,1,4617,1510,3.666666667,2,3
29341434,austin,78746,30.31882286,-97.8088913,1998,1499000,9,47044.8,4707,9,6,5
29368693,austin,78732,30.41967583,-97.89853668,2002,2490000,10,85377.6,4147,7,4,4
79981862,austin,78725,30.23990822,-97.57988739,2012,131860,2,8799,1598,3,3,3
29465089,austin,78725,30.2246666,-97.63119507,2000,129900,3,14810.4,2304,3,2,4
58298454,austin,78730,30.3680191,-97.84194183,2000,975000,3,54885.6,4620,7,4,5
70323938,austin,78733,30.34193039,-97.85636902,2006,1399900,5,70567.2,5742,8,4,4
29346937,austin,78733,30.34087753,-97.882164,1965,599500,6,41817.6,986,8,1,2
29360950,austin,78750,30.37924194,-97.78970337,1994,450000,3,3397,2137,7,2,3
145656290,austin,78744,30.16346359,-97.72412872,2016,349000,9,6272,2073,3.666666667,3,3
29341421,austin,78746,30.31807709,-97.8155365,1990,1325000,6,23086.8,4142,9,4,4
29375949,austin,78750,30.43996429,-97.79568481,1972,550000,2,12196.8,2581,8.666666667,2,4
145655859,austin,78725,30.23905373,-97.57743835,2016,217500,8,7230,1405,3,2,3
29344936,austin,78733,30.33909607,-97.86208344,1994,565000,7,13503.6,2648,8,3,4
29353950,austin,78730,30.36214638,-97.79945374,1999,899900,7,25264.8,3958,7,4,4
249912949,pflugerville,78660,30.41034698,-97.63796997,2019,336990,5,7461,2814,3,3,4
89651406,austin,78717,30.4907074,-97.79296112,2009,219900,7,5662,1730,8.333333333,3,3
2089992289,austin,78744,30.1594696,-97.7155838,2018,338900,7,5967,2177,3.666666667,3,4
89551588,austin,78725,30.21480179,-97.63815308,2013,161940,6,5227,1452,3,2,3
80103408,austin,78724,30.27275658,-97.63141632,2008,133000,4,9147,1762,3.666666667,2,4
83828934,austin,78735,30.29689789,-97.86706543,2007,885000,7,11325.6,3436,5.666666667,3,4
241936636,pflugerville,78660,30.41358185,-97.64328766,2017,249900,1,6211,1582,3.666666667,2,3
58265948,austin,78750,30.45035744,-97.81635284,2002,400000,3,10149,3254,7.666666667,3,5
58297915,austin,78746,30.32284355,-97.80609131,1999,1999000,12,31363.2,5576,9,7,5
89548573,austin,78725,30.21393394,-97.63741302,2009,217000,6,6141,1776,3,3,5
83123896,austin,78732,30.36948395,-97.90807343,2007,700000,7,12632.4,4952,8.666666667,4,4
29355947,austin,78731,30.36506844,-97.78586578,1962,535000,7,16117.2,1707,7,2,3
29368658,austin,78732,30.41880989,-97.88529968,1987,450000,5,40946.4,2667,7,3,3
29341415,austin,78746,30.31949234,-97.8161087,1999,1400000,3,42253.2,5234,9,5,5
58265946,austin,78750,30.45078468,-97.81719208,2002,480000,10,9365,3282,7.666666667,3,4
241938280,austin,78744,30.16134453,-97.72055817,2016,437500,11,8494,2275,3.666666667,3,4
29396905,austin,78724,30.28890419,-97.64698029,1980,225000,3,5357,1320,3.666666667,2,3
241936634,pflugerville,78660,30.41429901,-97.64269257,2016,274900,3,12196.8,1745,3.666666667,2,3
80093390,austin,78732,30.34130287,-97.91954041,2012,825000,7,13503.6,4219,8.333333333,6,4
29343408,austin,78746,30.33099365,-97.80457306,1984,799000,4,11325.6,3693,9,4,4
63835353,austin,78724,30.2520256,-97.58260345,2003,119900,9,5749,1650,2.666666667,2,3
29396904,austin,78724,30.28885841,-97.64711761,1980,159000,3,5575,939,3.666666667,1,2
29351445,austin,78731,30.35277367,-97.79209137,1985,550000,3,3911,2474,7,3,3
29370446,austin,78750,30.42213821,-97.79623413,1984,525000,8,13503.6,2567,9,4,4
70352485,austin,78732,30.35432243,-97.91127777,2007,715000,2,15681.6,4060,8.333333333,5,4
29344931,austin,78733,30.3377037,-97.84771729,1985,3175000,7,32234.4,4919,9.333333333,5,4
29459853,austin,78725,30.2451725,-97.58602142,1987,160000,12,5357,1419,3,2,3
89663390,austin,78717,30.49170685,-97.79071808,2008,315000,5,6229,2234,8.333333333,3,3
241936631,pflugerville,78660,30.41381264,-97.64387512,2016,254990,8,12196.8,1349,3.666666667,2,3
29373139,austin,78726,30.43374062,-97.87350464,1975,598000,4,114127.2,1656,7,2,2
83124879,austin,78732,30.3430233,-97.91098785,2008,495000,3,8363,2717,8.333333333,3,4
70336928,austin,78735,30.29387665,-97.87536621,2005,1100000,12,15681.6,4615,5.666666667,4,4
70338352,austin,78724,30.24891853,-97.58234406,2013,215000,11,12632.4,1749,2.666666667,2,4
29351440,austin,78731,30.35316467,-97.7917099,1995,399000,11,3920,1644,7,2,3
29368445,austin,78750,30.42145348,-97.8054657,1985,475000,6,13503.6,3114,9,3,4
125158378,austin,78732,30.33176613,-97.92328644,2015,689000,10,12196.8,3393,8.333333333,4,4
29342428,austin,78733,30.32862091,-97.87297821,1979,399000,4,19602,1848,8,2,3
125792770,austin,78744,30.17824745,-97.69378662,2015,389900,12,6621,2953,3.666666667,3,4
29355939,austin,78731,30.36450386,-97.78728485,1960,685000,6,26571.6,1600,7,0,0
88013884,austin,78717,30.50224113,-97.78908539,2005,325000,10,6403,2256,8.333333333,3,3
29368633,austin,78726,30.42263412,-97.86044312,1995,280000,8,7405,2415,7,2,4
83824877,austin,78732,30.37175751,-97.9090271,2006,749900,4,11761.2,4589,8.666666667,5,4
29344906,austin,78730,30.33733749,-97.82333374,1986,750000,5,43560,3009,7,4,4
29351438,austin,78731,30.35307693,-97.79139709,1995,409000,8,3920,1456,7,2,2
29342427,austin,78733,30.32834816,-97.87316895,1985,457000,5,20908.8,2094,8,3,3
29396897,austin,78724,30.28982925,-97.64745331,2004,205000,2,5052,1200,3.666666667,2,3
83124877,austin,78732,30.34336281,-97.91098022,2008,425000,3,7971,3323,8.333333333,3,4
29461349,austin,78725,30.23805046,-97.58654022,1998,175000,10,5062,1662,3,2,3
70336926,austin,78735,30.29394913,-97.87610626,2011,1095000,9,11325.6,3983,5.666666667,4,4
58298435,austin,78750,30.37151337,-97.78830719,1980,350000,6,5662,1799,7,2,3
29368631,austin,78726,30.42238045,-97.86068726,1993,389900,5,7710,2761,7,3,3
145656010,austin,78725,30.22078896,-97.63388062,2017,255000,6,6272,1496,3,2,3
241936613,pflugerville,78660,30.41394234,-97.64264679,2016,289500,6,12196.8,2112,3.666666667,3,4
29351434,austin,78731,30.35326004,-97.79042053,1991,650000,5,9365,2519,7,3,3
29368608,austin,78726,30.41928864,-97.86039734,1993,474500,10,12196.8,4263,7,5,4
89551873,austin,78732,30.36899567,-97.91271973,2014,4950000,8,116740.8,13731,8.333333333,10,5
83827393,austin,78724,30.27906227,-97.62841034,2012,205000,5,5227,1221,3.666666667,2,3
89551502,austin,78725,30.21377182,-97.6374588,2010,215000,7,8189,1420,3,2,3
29374438,austin,78750,30.43627548,-97.80500031,1975,623000,6,16988.4,2904,8.666666667,4,4
29342422,austin,78733,30.32906723,-97.87272644,1978,420000,11,21780,1406,8,2,3
80104872,austin,78732,30.3437233,-97.91596222,2008,395000,3,7492,2045,8.333333333,2,3
58298431,austin,78750,30.37123489,-97.78775787,1981,325000,4,4573,1359,7,2,2
144176918,austin,78733,30.34859467,-97.86572266,1962,485000,4,14810.4,1780,8,3,3
241936608,pflugerville,78660,30.41333199,-97.64306641,2016,309900,7,12196.8,2432,3.666666667,3,4
29368594,austin,78726,30.42136383,-97.86011505,1993,479900,6,12196.8,3328,7,4,5
29375933,austin,78750,30.43993759,-97.79682922,1978,710000,11,15681.6,3451,8.666666667,3,4
29357371,austin,78734,30.37208557,-97.9154892,1988,1100000,7,15681.6,3020,7,4,5
29344897,austin,78730,30.33719635,-97.82068634,1981,774000,7,16552.8,2812,7,3,3
70336913,austin,78735,30.29384232,-97.87725067,2005,899000,2,14374.8,3294,5.666666667,3,4
64737390,austin,78724,30.28762817,-97.64517975,2006,269990,10,5662,1511,3.666666667,3,3
29368593,austin,78726,30.42296219,-97.86251068,2000,410000,2,7666,3274,7,4,4
29357369,austin,78734,30.37163544,-97.91547394,1983,1595000,7,15681.6,2944,7,3,3
120898908,austin,78732,30.34446526,-97.90643311,2012,595000,8,14810.4,3029,8.333333333,4,4
29376431,austin,78726,30.4420433,-97.82595825,1990,445000,4,8441,3346,8,4,5
29343397,austin,78746,30.33315849,-97.80496216,1984,1215000,5,48787.2,4700,9,6,5
29358974,austin,78750,30.37464714,-97.79686737,1982,609995,12,10544,2728,7,3,4
111371886,austin,78724,30.27854729,-97.62421417,2014,240000,10,6229,2491,3.666666667,3,5
79980405,austin,78733,30.33155251,-97.85595703,2006,3750000,10,43995.6,9368,8,6,5
83124867,austin,78732,30.34182167,-97.91043854,2008,574900,11,7753,3358,8.333333333,4,4
29339395,austin,78746,30.31101608,-97.83000946,2013,2489000,6,109771.2,5506,9,7,5
80104386,austin,78724,30.27682495,-97.63174438,2007,240000,4,6272,1761,3.666666667,2,4
63835340,austin,78724,30.25141144,-97.5806427,2003,175000,8,6882,1326,2.666666667,2,3
29357366,austin,78734,30.37078857,-97.9152298,2013,1775000,8,16117.2,3700,7,4,5
29368548,austin,78726,30.42150497,-97.85586548,1999,549900,6,16988.4,3884,7,4,5
67415405,austin,78733,30.29961586,-97.89527893,1987,775000,7,13939.2,3076,9.333333333,3,4
29353930,austin,78731,30.3588028,-97.78659821,1985,399000,5,14374.8,2068,7,2,3
88019360,austin,78717,30.49406624,-97.79692078,2007,379000,5,8712,2708,8.333333333,3,4
29363429,austin,78750,30.39308739,-97.80466461,1996,650000,7,14374.8,2898,7,3,3
80104364,austin,78732,30.34135056,-97.91712189,2011,681900,4,19166.4,4597,8.333333333,5,4
249891101,pflugerville,78660,30.41113472,-97.63988495,2019,311250,6,8529,2193,3.666666667,3,4
63835337,austin,78724,30.25190353,-97.58092499,2003,219900,9,6098,1952,2.666666667,3,4
29341393,austin,78746,30.32272911,-97.81066132,2005,1940000,5,59677.2,5261,9,4,5
29566857,austin,78750,30.46326256,-97.81148529,1980,175000,9,13503.6,1723,7.666666667,2,3
29342404,austin,78733,30.32772255,-97.87614441,1979,325000,6,24393.6,2110,8,3,3
29368532,austin,78726,30.41982651,-97.85623169,1996,419900,8,13068,2622,7,3,4
83815356,austin,78732,30.33798409,-97.92537689,2005,1999900,6,182080.8,7158,8.333333333,7,6
58298927,austin,78750,30.37234879,-97.78695679,1983,258000,4,5096,1096,7,2,2
29343391,austin,78746,30.3325386,-97.80589294,1983,1350000,7,21780,4840,9,4,4
70352403,austin,78732,30.34879684,-97.90283966,2010,725000,2,8886,4150,8.666666667,4,5
80104481,austin,78732,30.34349823,-97.91891479,2008,865000,10,13939.2,4549,8.333333333,6,5
29363427,austin,78750,30.39265633,-97.80437469,1995,550000,8,10006,2489,7,3,4
70992349,austin,78717,30.49637032,-97.79571533,2007,339900,8,6534,2030,8.333333333,3,3
29341389,austin,78746,30.32085991,-97.81259918,1991,1149000,8,17859.6,3724,9,5,5
90240400,austin,78733,30.33088303,-97.87989044,2005,1095000,6,62290.8,4616,8,4,5
251034742,austin,78744,30.15157318,-97.71981812,2019,412206,12,8398,2502,3.666666667,3,3
58298426,austin,78750,30.37074089,-97.7879715,1978,424900,9,5489,1747,7,2,3
70330400,austin,78733,30.3282814,-97.85839081,2017,3500000,8,45302.4,5650,8,7,5
29368530,austin,78726,30.41957855,-97.85676575,1992,384900,6,11761.2,2484,7,3,4
111372365,austin,78724,30.27958107,-97.62531281,2014,239900,9,5749,1650,3.666666667,2,3
111973229,austin,78725,30.23169708,-97.59081268,2001,189900,10,5314,1178,3,2,3
29344884,austin,78730,30.33937454,-97.81781006,1999,3250000,8,21780,4800,7,5,3
241931861,austin,78724,30.29126167,-97.64215851,2018,428900,8,4835,2470,3.666666667,3,3
121657728,austin,78725,30.23687935,-97.57853699,2013,194973,6,4181,1426,3,2,3
55299492,austin,78737,30.17957306,-97.95729828,2001,990000,12,69696,4417,8,6,4
