city,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,lotSizeSqFt,livingAreaSqFt,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories
austin,78725,30.22929382,-97.59007263,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2004,179900,1,0,0,1,0,0,5924,1194,1.833333333,3,1457,13,2,3,1
austin,78732,30.41860008,-97.89057159,1.98,5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,5,2006,2950000,4,0,4,4,0,0,68389.2,9591,3.533333333,7,1277,16,7,5,2
austin,78747,30.11583138,-97.71607208,1.98,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Single Family,0,1993,565000,1,0,2,1,3,2,1001880,2169,4.633333333,3.333333333,1557,14,3,3,2
austin,78725,30.21501923,-97.63804626,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2014,194098,1,0,5,1,0,0,5445,1296,3.333333333,3,1457,13,2,3,1
austin,78724,30.25937271,-97.58674622,1.98,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,1,2018,255700,2,0,3,2,0,0,6098,2570,2.2,2.666666667,1478,13,3,4,2
austin,78726,30.44238663,-97.82499695,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1989,495000,1,0,3,1,0,0,9147,3140,1.233333333,8,1275,15,3,5,2
austin,78725,30.21296501,-97.63726807,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2010,225000,2,0,5,1,0,0,9626,1420,3.3,3,1457,13,2,3,1
austin,78725,30.24004555,-97.58735657,1.98,2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Single Family,2,2003,207900,4,0,2,2,0,0,5314,1929,1.633333333,3,1457,13,2,3,1
austin,78725,30.23721313,-97.5835495,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1996,200000,1,0,2,1,0,1,6969,1592,1.766666667,3,1457,13,3,3,2
austin,78717,30.48861694,-97.79280853,2.21,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2016,675000,2,0,3,2,1,0,12632.4,3837,3.266666667,7.666666667,1259,14,5,5,2
austin,78726,30.42463112,-97.8576889,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2011,975000,1,0,3,1,0,0,58806,3450,1.9,7,1277,16,4,4,1
austin,78729,30.45297623,-97.78694916,2.21,6,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,Single Family,6,1976,259000,2,0,4,3,0,0,16552.8,1239,1.766666667,5.333333333,1369,12,2,3,1
austin,78725,30.23699188,-97.58533478,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,1997,199999,4,0,3,1,1,0,5227,1335,1.733333333,3,1457,13,2,3,1
austin,78717,30.48804855,-97.79401398,2.21,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2013,625000,1,0,2,2,1,0,15681.6,3111,3.266666667,7.666666667,1259,14,3,4,1
austin,78744,30.17620659,-97.6965332,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2016,285000,2,0,4,1,0,0,5662,1973,2.9,3.666666667,1532,12,3,3,2
austin,78731,30.35284042,-97.79354858,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Townhouse,0,1995,399900,1,0,3,1,0,0,3963,1487,3.4,7,1177,16,2,2,1
austin,78725,30.23677063,-97.58175659,1.98,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Single Family,0,2016,215000,1,0,3,1,0,0,5749,1370,1.833333333,3,1457,13,2,3,1
